price,mean_commute_time,median_home_value,percent_bachelors_or_higher,percent_below_poverty,percent_highschool_or_higher,percent_no_health_insurance,rating,review_count,unemployment_rate,median_household_income,population,density,income_category,price_weight,price_weight_contr,price_weight_contrv2,zip_code,high_price,4_star,zip_code.1,inc_cat2,inc_cat3
3.0,28.1,197100.0,29.2,5.4,92.6,3.4,4.5,2.0,6.9,44303.0,8698.0,116.4,1.0,27.0,0.3104161876293401,15.520809381467005,1069,1,0,1069,2,1
2.5,17.8,174600.0,28.8,9.0,90.2,2.6,4.25,9.5,7.8,24024.0,44607.0,339.2,0.0,84.25,0.1888717017508463,2.409935660322371,1201,1,0,1201,1,1
1.5,23.7,152000.0,22.6,8.6,88.1,1.7,4.25,14.5,6.5,35394.0,8209.0,135.1,0.0,98.875,1.2044707028870751,7.46132293823852,1220,0,0,1220,1,1
1.625,19.20000000000002,153300.0,24.40000000000001,8.800000000000008,85.19999999999992,3.5,3.5892857142857144,29.5,9.5,20493.0,15573.0,118.19999999999986,0.0,215.26785714285717,1.3823146287989283,3.82415536046821,1247,3,0,1247,1,1
2.0,25.8,279500.0,46.3,7.0,96.3,1.1,3.0,14.0,5.6,78174.0,4634.0,73.5,2.0,84.0,1.812688821752266,12.947777298230474,1373,0,0,1373,3,2
1.7142857142857142,27.7,246100.0,38.3,7.299999999999999,93.29999999999998,1.2,3.5,31.714285714285715,5.9,60190.0,16549.0,401.4,2.0,169.71428571428572,1.025525927332683,3.6255967127923134,1501,1,1,1501,3,2
1.5,26.3,263200.0,31.3,9.2,91.7,2.2,3.75,47.5,6.2,76898.0,13630.0,328.3,2.0,215.5,1.5810711665443875,4.035216434336022,1527,0,0,1527,3,2
1.8510638297872342,28.90000000000001,394100.0,56.69999999999998,5.400000000000004,94.09999999999998,2.5,3.351063829787234,62.255319148936174,4.400000000000003,300000.0,36666.0,657.0,3.0,424.07446808510633,1.1565877600095626,1.711829963639571,1545,5,0,1545,4,2
2.0,30.6,432000.0,65.7,7.4,96.4,2.6,5.0,42.0,3.6,300000.0,18982.0,342.4,3.0,420.0,2.212622484458961,5.268148772521336,1581,0,0,1581,4,2
2.0,24.7,268200.0,30.5,6.9,87.4,2.6,3.5,15.0,4.8,102279.0,7676.0,232.3,3.0,105.0,1.3678999478895255,9.119332985930173,1583,0,0,1583,3,2
1.0,30.1,261000.0,30.8,5.5,92.0,6.2,5.0,15.0,4.6,63671.0,9775.0,436.5,2.0,75.0,0.7672634271099744,5.115089514066496,1588,0,0,1588,3,2
1.71875,24.5,225400.0,46.70000000000002,13.800000000000008,91.80000000000004,3.4000000000000017,3.8125,65.25,5.400000000000002,300000.0,23854.0,1527.5,3.0,445.703125,1.8684628364215643,2.7380103965791887,1602,1,0,1602,4,2
1.425,24.200000000000014,183400.0,20.0,15.399999999999988,81.40000000000006,3.5,3.525,47.575,8.199999999999994,41795.0,19336.0,1704.1999999999991,1.0,269.7,1.3948076127430695,2.644031857674803,1603,1,0,1603,2,1
1.75,23.900000000000052,209700.0,27.900000000000052,13.59999999999998,87.3999999999998,3.3000000000000065,3.6116071428571432,87.92857142857143,7.2999999999999865,25238.0,37468.0,2079.6000000000035,0.0,638.9821428571429,1.7054076621574217,1.6919199621772487,1604,6,1,1604,1,1
1.6274509803921569,22.6,198300.0,24.599999999999994,15.899999999999983,81.90000000000006,2.8,3.3823529411764706,70.17647058823529,7.600000000000005,91615.0,28820.0,1794.6999999999985,3.0,474.39215686274514,1.64605189751126,1.9560218258017992,1605,2,0,1605,3,2
1.6176470588235294,25.39999999999999,215400.0,37.5,10.100000000000003,92.80000000000004,2.400000000000001,3.5735294117647056,39.911764705882355,6.599999999999996,27435.0,19729.0,1242.5,0.0,239.10294117647058,1.2119364447081484,2.959215010450428,1606,2,1,1606,1,1
1.7692307692307692,27.100000000000005,173100.0,23.0,2.5,83.5,3.899999999999999,3.3076923076923075,38.230769230769226,6.299999999999998,300000.0,8583.0,1019.5,3.0,249.23076923076923,2.9037722152017853,6.9905627403005965,1607,1,0,1607,4,2
1.680851063829787,23.899999999999995,305700.0,43.5,12.3,83.40000000000006,2.700000000000002,3.723404255319149,94.25531914893615,7.699999999999991,25936.0,21142.0,2265.6000000000017,0.0,716.5425531914892,3.3891900160414785,2.9385895172863523,1609,6,1,1609,1,1
1.4615384615384617,21.899999999999984,162500.0,14.100000000000007,17.399999999999988,73.19999999999997,4.5,3.717948717948718,49.97435897435897,9.699999999999992,30332.0,23040.0,4352.100000000003,0.0,272.29487179487177,1.1818353810541309,2.3927172364672376,1610,1,0,1610,1,1
2.0,30.2,389000.0,58.6,4.4,95.7,3.1,4.0,38.0,4.0,300000.0,32570.0,710.4,3.0,304.0,0.9333742708013508,2.456248081056186,1701,0,0,1701,4,2
2.0,32.4,775100.0,71.4,5.6,94.6,3.0,4.5,21.0,3.5,300000.0,19350.0,280.1,3.0,189.0,0.9767441860465116,4.651162790697675,1742,0,0,1742,4,2
3.0,37.8,551400.0,68.2,2.2,97.0,1.5,3.5,45.0,4.4,156100.0,17178.0,219.7,3.0,472.5,2.750611246943765,6.112469437652812,1748,1,0,1748,4,2
3.0,28.6,319700.0,39.8,5.5,90.3,4.1,2.0,35.0,3.4,66700.0,19868.0,638.5,2.0,210.0,1.056976041876384,3.0199315482182403,1749,1,0,1749,3,2
